,time
4117,101 min
4118,131 min
4119,101 min
4120,88 min
4121,100 min
4122,98 min
4123,99 min
4124,65 min
4125,108 min
4126,48 min
4127,116 min
4128,89 min
4129,100 min
4130,90 min
4131,60 min
4132,95 min
4133,85 min
4134,96 min
4135,88 min
4136,90 min
4137,111 min
4138,119 min
4139,106 min
4140,118 min
4141,101 min
4142,150 min
4143,50 min
4144,99 min
4145,82 min
4146,85 min
4147,93 min
4148,99 min
4149,87 min
4150,155 min
4151,78 min
4152,158 min
4153,115 min
4154,188 min
4155,80 min
4156,93 min
4157,89 min
4158,88 min
4159,86 min
4160,89 min
4161,99 min
4162,108 min
4163,124 min
4164,76 min
4165,92 min
4166,79 min
4167,93 min
4168,107 min
4169,80 min
4170,92 min
4171,94 min
4172,112 min
4173,93 min
4174,93 min
4175,96 min
4176,96 min
4177,100 min
4178,88 min
4179,100 min
4180,104 min
4181,105 min
4182,58 min
4183,89 min
4184,90 min
4185,80 min
4186,121 min
4187,102 min
4188,90 min
4189,90 min
4190,72 min
4191,60 min
4192,85 min
4193,91 min
4194,134 min
4195,93 min
4196,100 min
4197,155 min
4198,100 min
4199,87 min
4200,87 min
4201,79 min
4202,136 min
4203,152 min
4204,63 min
4205,89 min
4206,84 min
4207,61 min
4208,87 min
4209,110 min
4210,60 min
4211,66 min
4212,85 min
4213,108 min
4214,145 min
4215,119 min
4216,91 min
4217,92 min
4218,80 min
4219,105 min
4220,90 min
4221,85 min
4222,80 min
4223,158 min
4224,93 min
4225,97 min
4226,101 min
4227,94 min
4228,91 min
4229,86 min
4230,95 min
4231,162 min
4232,87 min
4233,59 min
4234,73 min
4235,131 min
4236,93 min
4237,97 min
4238,78 min
4239,60 min
4240,105 min
4241,77 min
4242,96 min
4243,88 min
4244,85 min
4245,104 min
4246,46 min
4247,120 min
4248,74 min
4249,106 min
4250,98 min
4251,95 min
4252,99 min
4253,55 min
4254,120 min
4255,105 min
4256,102 min
4257,100 min
4258,126 min
4259,94 min
4260,65 min
4261,97 min
4262,106 min
4263,114 min
4264,80 min
4265,120 min
4266,150 min
4267,96 min
4268,105 min
4269,85 min
4270,102 min
4271,117 min
4272,126 min
4273,171 min
4274,50 min
4275,65 min
4276,150 min
4277,180 min
4278,62 min
4279,103 min
4280,103 min
4281,114 min
4282,91 min
4283,86 min
4284,48 min
4285,93 min
4286,97 min
4287,101 min
4288,80 min
4289,88 min
4290,82 min
4291,86 min
4292,82 min
4293,90 min
4294,75 min
4295,94 min
4296,75 min
4297,84 min
4298,52 min
4299,76 min
4300,102 min
4301,80 min
4302,60 min
4303,120 min
4304,88 min
4305,85 min
4306,99 min
4307,90 min
4308,165 min
4309,90 min
4310,90 min
4311,90 min
4312,48 min
4313,85 min
4314,103 min
4315,92 min
4316,98 min
4317,102 min
4318,173 min
4319,133 min
4320,98 min
4321,97 min
4322,96 min
4323,110 min
4324,97 min
4325,100 min
4326,85 min
4327,93 min
4328,102 min
4329,53 min
4330,96 min
4331,90 min
4332,80 min
4333,172 min
4334,99 min
4335,140 min
4336,150 min
4337,101 min
4338,117 min
4339,93 min
4340,85 min
4341,92 min
4342,87 min
4343,92 min
4344,90 min
4345,85 min
4346,94 min
4347,112 min
4348,60 min
4349,100 min
4350,95 min
4351,155 min
4352,104 min
4353,85 min
4354,90 min
4355,90 min
4356,108 min
4357,96 min
4358,86 min
4359,75 min
4360,107 min
4361,100 min
4362,92 min
4363,107 min
4364,46 min
4365,93 min
4366,120 min
4367,91 min
4368,93 min
4369,87 min
4370,98 min
4371,71 min
4372,95 min
4373,53 min
4374,88 min
4375,77 min
4376,124 min
4377,88 min
4378,95 min
4379,84 min
4380,81 min
4381,80 min
4382,85 min
4383,100 min
4384,94 min
4385,85 min
4386,100 min
4387,88 min
4388,88 min
4389,110 min
4390,80 min
4391,93 min
4392,138 min
4393,105 min
4394,176 min
4395,120 min
4396,96 min
4397,75 min
4398,170 min
4399,148 min
4400,137 min
4401,60 min
4402,78 min
4403,114 min
4404,65 min
4405,90 min
4406,60 min
4407,88 min
4408,90 min
4409,121 min
4410,90 min
4411,94 min
4412,103 min
4413,60 min
4414,120 min
4415,102 min
4416,90 min
4417,113 min
4418,103 min
4419,173 min
4420,77 min
4421,102 min
4422,120 min
4423,75 min
4424,140 min
4425,67 min
4426,110 min
4427,71 min
4428,96 min
4429,99 min
4430,130 min
4431,104 min
