,time
931,98 min
932,97 min
933,95 min
934,103 min
935,122 min
936,101 min
937,116 min
938,94 min
939,90 min
940,102 min
941,172 min
942,79 min
943,124 min
944,131 min
945,92 min
946,93 min
947,60 min
948,86 min
949,97 min
950,102 min
951,115 min
952,98 min
953,92 min
954,90 min
955,102 min
956,81 min
957,73 min
958,58 min
959,75 min
960,147 min
961,154 min
962,87 min
963,84 min
964,74 min
965,115 min
966,112 min
967,116 min
968,103 min
969,139 min
970,102 min
971,110 min
972,99 min
973,115 min
974,91 min
975,96 min
976,105 min
977,135 min
978,131 min
979,174 min
980,103 min
981,86 min
982,85 min
983,95 min
984,82 min
985,119 min
986,104 min
987,85 min
988,119 min
989,104 min
990,120 min
991,183 min
992,105 min
993,90 min
994,95 min
995,97 min
996,90 min
997,117 min
998,50 min
999,101 min
1000,60 min
1001,104 min
1002,101 min
1003,100 min
1004,91 min
1005,112 min
1006,135 min
1007,106 min
1008,90 min
1009,89 min
1010,65 min
1011,60 min
1012,60 min
1013,95 min
1014,108 min
1015,100 min
1016,104 min
1017,115 min
1018,114 min
1019,85 min
1020,90 min
1021,95 min
1022,105 min
1023,90 min
1024,86 min
1025,77 min
1026,120 min
1027,75 min
1028,102 min
1029,104 min
1030,93 min
1031,90 min
1032,109 min
1033,90 min
1034,90 min
1035,135 min
1036,100 min
1037,90 min
1038,124 min
1039,123 min
1040,95 min
1041,55 min
1042,71 min
1043,94 min
1044,90 min
1045,95 min
1046,92 min
1047,96 min
1048,100 min
1049,101 min
1050,85 min
1051,95 min
1052,94 min
1053,88 min
1054,81 min
1055,98 min
1056,69 min
1057,95 min
1058,117 min
1059,84 min
1060,59 min
1061,82 min
1062,91 min
1063,99 min
1064,98 min
1065,89 min
1066,128 min
1067,111 min
1068,90 min
1069,101 min
1070,103 min
1071,90 min
1072,96 min
1073,94 min
1074,92 min
1075,47 min
1076,55 min
1077,79 min
1078,93 min
1079,92 min
1080,91 min
1081,95 min
1082,57 min
1083,96 min
1084,87 min
1085,99 min
1086,80 min
1087,106 min
1088,85 min
1089,101 min
1090,121 min
1091,117 min
1092,111 min
1093,89 min
1094,146 min
1095,96 min
1096,82 min
1097,172 min
1098,48 min
1099,102 min
1100,102 min
1101,106 min
1102,116 min
1103,90 min
1104,97 min
1105,83 min
1106,80 min
1107,85 min
1108,84 min
1109,60 min
1110,100 min
1111,91 min
1112,82 min
1113,93 min
1114,90 min
1115,90 min
1116,89 min
1117,92 min
1118,98 min
1119,117 min
1120,49 min
1121,60 min
1122,108 min
1123,79 min
1124,89 min
1125,95 min
1126,94 min
1127,94 min
1128,98 min
1129,102 min
1130,108 min
1131,110 min
1132,86 min
1133,84 min
1134,224 min
1135,94 min
1136,97 min
1137,108 min
1138,103 min
1139,109 min
1140,99 min
1141,80 min
1142,93 min
1143,90 min
1144,170 min
1145,94 min
1146,97 min
1147,110 min
1148,105 min
1149,98 min
1150,90 min
1151,120 min
1152,60 min
1153,60 min
1154,111 min
1155,108 min
1156,98 min
1157,86 min
1158,90 min
1159,101 min
1160,97 min
1161,102 min
1162,106 min
1163,90 min
1164,120 min
1165,100 min
1166,87 min
1167,120 min
1168,106 min
1169,87 min
1170,107 min
1171,85 min
1172,106 min
1173,104 min
1174,92 min
1175,130 min
1176,89 min
1177,94 min
1178,63 min
1179,152 min
1180,95 min
1181,110 min
1182,115 min
1183,92 min
1184,109 min
1185,105 min
1186,90 min
1187,60 min
1188,92 min
1189,87 min
1190,90 min
1191,97 min
1192,89 min
1193,118 min
1194,115 min
1195,117 min
1196,105 min
1197,94 min
1198,95 min
1199,98 min
1200,164 min
1201,146 min
1202,96 min
1203,75 min
1204,165 min
1205,80 min
1206,171 min
1207,78 min
1208,86 min
1209,116 min
1210,85 min
1211,99 min
1212,89 min
1213,120 min
1214,73 min
1215,97 min
1216,87 min
1217,81 min
1218,95 min
1219,131 min
1220,86 min
1221,150 min
1222,57 min
1223,60 min
1224,122 min
1225,99 min
1226,96 min
1227,95 min
1228,90 min
1229,127 min
1230,90 min
1231,95 min
1232,94 min
1233,96 min
1234,81 min
1235,56 min
1236,93 min
1237,87 min
1238,86 min
1239,77 min
1240,60 min
1241,132 min
1242,106 min
1243,80 min
1244,86 min
1245,88 min
1246,109 min
1247,60 min
1248,95 min
1249,100 min
1250,83 min
1251,100 min
1252,85 min
1253,100 min
1254,138 min
1255,90 min
1256,111 min
1257,87 min
1258,111 min
1259,92 min
1260,83 min
1261,96 min
1262,118 min
1263,88 min
1264,90 min
1265,70 min
1266,91 min
1267,86 min
1268,86 min
1269,150 min
1270,178 min
1271,75 min
1272,103 min
1273,93 min
1274,94 min
1275,74 min
1276,76 min
1277,48 min
1278,124 min
1279,91 min
1280,105 min
1281,98 min
1282,86 min
1283,87 min
1284,151 min
1285,105 min
1286,116 min
1287,106 min
1288,104 min
1289,95 min
1290,87 min
1291,93 min
1292,91 min
1293,130 min
1294,100 min
1295,105 min
1296,100 min
1297,126 min
1298,110 min
1299,90 min
1300,130 min
1301,95 min
1302,87 min
1303,98 min
1304,97 min
1305,184 min
1306,158 min
1307,139 min
1308,60 min
1309,60 min
1310,61 min
1311,87 min
1312,111 min
1313,113 min
1314,90 min
1315,72 min
1316,104 min
1317,60 min
1318,201 min
1319,70 min
1320,51 min
1321,90 min
1322,88 min
1323,103 min
1324,92 min
1325,50 min
1326,92 min
1327,86 min
1328,89 min
1329,102 min
1330,75 min
1331,104 min
1332,103 min
1333,107 min
1334,81 min
1335,90 min
1336,90 min
1337,91 min
1338,125 min
1339,90 min
1340,90 min
1341,110 min
1342,77 min
1343,90 min
1344,82 min
1345,100 min
1346,90 min
1347,108 min
1348,98 min
1349,105 min
1350,75 min
1351,102 min
1352,88 min
1353,105 min
1354,107 min
1355,60 min
1356,92 min
1357,91 min
1358,95 min
1359,111 min
1360,72 min
1361,106 min
1362,90 min
1363,110 min
1364,95 min
1365,94 min
1366,119 min
1367,98 min
1368,90 min
1369,90 min
1370,140 min
1371,97 min
1372,123 min
1373,75 min
1374,84 min
1375,88 min
1376,60 min
1377,120 min
1378,87 min
1379,118 min
1380,90 min
1381,90 min
1382,111 min
1383,95 min
1384,144 min
1385,112 min
1386,101 min
1387,88 min
1388,97 min
1389,156 min
1390,111 min
1391,74 min
1392,73 min
1393,125 min
1394,80 min
1395,90 min
1396,50 min
1397,86 min
1398,79 min
1399,90 min
1400,84 min
1401,100 min
1402,105 min
1403,96 min
1404,97 min
1405,85 min
1406,89 min
1407,104 min
1408,105 min
1409,100 min
1410,83 min
1411,103 min
1412,90 min
1413,90 min
1414,114 min
1415,98 min
1416,90 min
1417,102 min
1418,89 min
1419,168 min
1420,97 min
1421,83 min
1422,160 min
1423,94 min
1424,100 min
1425,90 min
1426,90 min
1427,117 min
1428,60 min
1429,103 min
1430,100 min
1431,104 min
1432,63 min
1433,109 min
1434,108 min
1435,88 min
1436,112 min
1437,47 min
1438,93 min
1439,95 min
1440,92 min
1441,94 min
1442,98 min
1443,84 min
1444,75 min
1445,59 min
1446,58 min
1447,104 min
1448,98 min
1449,114 min
1450,105 min
1451,90 min
1452,95 min
1453,95 min
1454,100 min
1455,104 min
1456,93 min
1457,93 min
1458,86 min
1459,93 min
1460,183 min
1461,149 min
1462,90 min
1463,100 min
1464,89 min
1465,83 min
1466,135 min
1467,60 min
1468,60 min
1469,107 min
1470,132 min
1471,56 min
1472,108 min
1473,142 min
1474,73 min
1475,84 min
1476,102 min
1477,60 min
1478,121 min
1479,94 min
1480,88 min
1481,108 min
1482,89 min
1483,95 min
1484,96 min
1485,50 min
1486,55 min
1487,101 min
1488,90 min
1489,84 min
1490,84 min
1491,99 min
1492,123 min
1493,102 min
1494,94 min
1495,45 min
1496,92 min
1497,112 min
1498,104 min
1499,85 min
1500,85 min
1501,90 min
1502,157 min
1503,131 min
1504,163 min
1505,104 min
1506,111 min
1507,80 min
1508,108 min
1509,75 min
1510,77 min
1511,120 min
1512,88 min
1513,97 min
1514,92 min
1515,102 min
1516,105 min
1517,104 min
1518,95 min
1519,104 min
1520,97 min
1521,87 min
1522,90 min
1523,100 min
1524,84 min
1525,93 min
1526,96 min
1527,100 min
1528,88 min
1529,181 min
1530,70 min
1531,98 min
1532,128 min
1533,110 min
1534,90 min
1535,100 min
1536,105 min
1537,90 min
1538,87 min
1539,85 min
1540,113 min
1541,90 min
1542,107 min
1543,113 min
1544,86 min
1545,90 min
1546,95 min
1547,90 min
1548,104 min
1549,100 min
1550,85 min
1551,114 min
1552,95 min
1553,60 min
1554,83 min
1555,123 min
1556,92 min
1557,93 min
1558,78 min
1559,88 min
1560,107 min
1561,97 min
1562,127 min
1563,120 min
1564,105 min
1565,87 min
1566,90 min
1567,91 min
1568,105 min
1569,106 min
1570,80 min
1571,87 min
1572,107 min
1573,90 min
1574,165 min
1575,92 min
1576,98 min
1577,93 min
1578,115 min
1579,80 min
1580,102 min
1581,117 min
1582,94 min
1583,90 min
1584,80 min
1585,69 min
1586,91 min
1587,103 min
1588,114 min
1589,90 min
1590,82 min
1591,128 min
1592,97 min
1593,202 min
1594,100 min
1595,82 min
1596,95 min
1597,168 min
1598,81 min
1599,88 min
1600,91 min
1601,150 min
1602,93 min
1603,120 min
1604,97 min
1605,45 min
1606,75 min
1607,163 min
1608,63 min
1609,126 min
1610,96 min
1611,98 min
1612,103 min
1613,115 min
1614,91 min
1615,115 min
1616,100 min
1617,92 min
1618,61 min
1619,57 min
1620,83 min
1621,96 min
1622,124 min
1623,113 min
1624,90 min
1625,60 min
1626,55 min
1627,60 min
1628,122 min
1629,87 min
1630,117 min
1631,107 min
1632,104 min
1633,112 min
1634,108 min
1635,90 min
1636,108 min
1637,133 min
1638,84 min
1639,96 min
1640,121 min
1641,99 min
1642,92 min
1643,105 min
1644,134 min
1645,123 min
1646,112 min
1647,93 min
1648,103 min
1649,103 min
1650,84 min
1651,108 min
1652,93 min
1653,84 min
1654,93 min
1655,100 min
1656,112 min
1657,110 min
1658,100 min
1659,94 min
1660,92 min
1661,123 min
1662,105 min
1663,93 min
1664,124 min
1665,184 min
1666,60 min
1667,60 min
1668,120 min
1669,85 min
1670,95 min
1671,129 min
1672,104 min
1673,101 min
1674,105 min
1675,121 min
1676,85 min
1677,104 min
1678,95 min
1679,158 min
1680,102 min
1681,80 min
1682,187 min
1683,150 min
1684,89 min
1685,146 min
1686,92 min
1687,105 min
1688,91 min
1689,157 min
1690,85 min
1691,59 min
1692,61 min
1693,122 min
1694,100 min
1695,92 min
1696,96 min
1697,88 min
1698,95 min
1699,95 min
1700,98 min
1701,108 min
1702,91 min
1703,100 min
1704,97 min
1705,105 min
1706,105 min
1707,116 min
1708,79 min
1709,83 min
1710,97 min
1711,106 min
1712,125 min
1713,97 min
1714,97 min
1715,84 min
1716,93 min
1717,99 min
1718,85 min
1719,110 min
1720,106 min
1721,106 min
1722,104 min
1723,109 min
1724,109 min
1725,91 min
1726,117 min
1727,115 min
1728,98 min
1729,94 min
1730,51 min
1731,85 min
1732,97 min
1733,83 min
1734,80 min
1735,88 min
1736,82 min
1737,85 min
1738,48 min
1739,100 min
1740,80 min
1741,76 min
1742,95 min
1743,159 min
1744,92 min
1745,119 min
1746,95 min
1747,93 min
1748,92 min
1749,108 min
1750,112 min
1751,103 min
1752,115 min
1753,138 min
1754,85 min
1755,108 min
1756,90 min
1757,176 min
1758,108 min
1759,99 min
1760,108 min
1761,106 min
1762,96 min
1763,113 min
1764,83 min
1765,90 min
1766,90 min
1767,86 min
1768,95 min
1769,89 min
1770,112 min
1771,106 min
1772,89 min
1773,48 min
1774,90 min
1775,106 min
1776,106 min
1777,88 min
1778,87 min
1779,92 min
1780,98 min
1781,129 min
1782,138 min
1783,115 min
1784,134 min
1785,77 min
1786,93 min
1787,94 min
1788,70 min
1789,85 min
1790,58 min
1791,92 min
1792,95 min
1793,84 min
1794,60 min
1795,90 min
1796,106 min
1797,111 min
1798,92 min
1799,56 min
1800,98 min
1801,99 min
1802,100 min
1803,89 min
1804,94 min
1805,87 min
1806,87 min
1807,83 min
1808,86 min
1809,91 min
1810,126 min
1811,104 min
1812,90 min
1813,109 min
1814,85 min
1815,104 min
1816,165 min
1817,91 min
1818,90 min
1819,75 min
1820,131 min
1821,75 min
1822,108 min
1823,85 min
1824,60 min
1825,70 min
1826,105 min
1827,80 min
1828,85 min
1829,92 min
1830,87 min
1831,93 min
1832,90 min
1833,86 min
1834,48 min
1835,119 min
1836,113 min
1837,115 min
1838,95 min
1839,93 min
1840,95 min
1841,75 min
1842,80 min
1843,109 min
1844,90 min
1845,97 min
1846,103 min
1847,91 min
1848,96 min
1849,89 min
1850,95 min
1851,98 min
1852,90 min
1853,113 min
1854,80 min
1855,124 min
1856,94 min
1857,101 min
1858,83 min
1859,100 min
1860,112 min
1861,90 min
1862,107 min
1863,105 min
1864,94 min
1865,90 min
1866,130 min
1867,90 min
1868,90 min
1869,93 min
1870,113 min
1871,150 min
1872,97 min
1873,109 min
1874,107 min
1875,86 min
1876,125 min
1877,84 min
1878,55 min
1879,150 min
1880,165 min
1881,88 min
1882,65 min
1883,60 min
1884,65 min
1885,60 min
1886,90 min
1887,94 min
1888,104 min
1889,100 min
1890,106 min
1891,132 min
1892,82 min
1893,111 min
1894,90 min
1895,112 min
1896,50 min
1897,99 min
1898,80 min
1899,86 min
1900,97 min
1901,95 min
1902,86 min
1903,90 min
1904,104 min
1905,127 min
1906,91 min
1907,77 min
1908,85 min
1909,90 min
1910,90 min
1911,120 min
1912,106 min
1913,87 min
1914,77 min
1915,81 min
1916,104 min
1917,99 min
1918,97 min
1919,105 min
1920,60 min
1921,95 min
1922,150 min
1923,88 min
1924,106 min
1925,120 min
1926,100 min
1927,47 min
1928,94 min
1929,97 min
1930,80 min
1931,87 min
1932,92 min
1933,50 min
1934,109 min
1935,96 min
1936,90 min
1937,81 min
1938,46 min
1939,92 min
1940,86 min
1941,78 min
1942,86 min
1943,105 min
1944,157 min
1945,94 min
1946,78 min
1947,110 min
1948,86 min
1949,90 min
1950,117 min
1951,98 min
1952,107 min
1953,107 min
1954,103 min
1955,87 min
1956,125 min
1957,60 min
1958,61 min
1959,90 min
1960,93 min
1961,102 min
1962,107 min
1963,106 min
1964,90 min
1965,90 min
1966,108 min
1967,96 min
1968,90 min
1969,113 min
1970,98 min
1971,112 min
1972,109 min
1973,93 min
1974,117 min
1975,102 min
1976,99 min
1977,93 min
1978,82 min
1979,70 min
1980,94 min
1981,90 min
1982,98 min
1983,85 min
1984,75 min
1985,153 min
1986,60 min
1987,104 min
1988,91 min
1989,88 min
1990,90 min
1991,90 min
1992,90 min
1993,78 min
1994,88 min
1995,105 min
1996,82 min
1997,97 min
1998,110 min
1999,85 min
2000,97 min
2001,102 min
2002,110 min
2003,82 min
2004,96 min
2005,77 min
2006,114 min
2007,83 min
2008,90 min
2009,75 min
2010,92 min
2011,88 min
2012,92 min
2013,70 min
2014,93 min
2015,81 min
2016,116 min
2017,123 min
2018,95 min
2019,86 min
2020,94 min
2021,98 min
2022,73 min
2023,109 min
2024,106 min
2025,90 min
2026,175 min
2027,97 min
2028,110 min
2029,101 min
2030,72 min
2031,94 min
2032,105 min
2033,93 min
2034,120 min
2035,112 min
2036,90 min
2037,80 min
2038,99 min
2039,45 min
2040,103 min
2041,105 min
2042,62 min
2043,81 min
2044,78 min
2045,83 min
2046,90 min
2047,90 min
2048,90 min
2049,88 min
2050,73 min
2051,111 min
2052,96 min
2053,97 min
2054,100 min
2055,46 min
2056,88 min
2057,97 min
2058,96 min
2059,102 min
2060,90 min
2061,99 min
2062,75 min
2063,132 min
2064,131 min
2065,90 min
2066,106 min
2067,96 min
2068,120 min
2069,160 min
2070,93 min
2071,47 min
2072,73 min
2073,157 min
2074,159 min
2075,62 min
2076,81 min
2077,102 min
2078,111 min
2079,106 min
2080,122 min
2081,104 min
2082,102 min
2083,60 min
2084,101 min
2085,91 min
2086,97 min
2087,95 min
2088,120 min
2089,65 min
2090,100 min
2091,79 min
2092,112 min
2093,93 min
2094,91 min
2095,85 min
2096,90 min
2097,100 min
2098,104 min
2099,90 min
2100,96 min
2101,90 min
2102,90 min
2103,96 min
2104,128 min
2105,120 min
2106,89 min
2107,93 min
2108,97 min
2109,92 min
2110,75 min
2111,81 min
2112,90 min
2113,110 min
2114,109 min
2115,93 min
2116,79 min
2117,62 min
